sra_run_id,layout,fragment_length_average,fragment_length_sd,publication_id,species,genotype.name,genotype.accession,tissue,tissue.comment,stress_type,stress.duration,temperature,sample.name,sample.group,respective_control
SRR11829545,paired,,,p15,Solanum lycopersicum,M82,,leaf,,heat,24h,high,m82_h_l_24h_3,e15-4,e15-0
SRR11829544,paired,,,p15,Solanum lycopersicum,M82,,leaf,,heat,recovery,high,m82_h_l_r_1,e15-5,e15-0
SRR11829543,paired,,,p15,Solanum lycopersicum,M82,,leaf,,heat,recovery,high,m82_h_l_r_2,e15-5,e15-0
SRR11829542,paired,,,p15,Solanum lycopersicum,M82,,leaf,,heat,recovery,high,m82_h_l_r_3,e15-5,e15-0
SRR10998570,single,200,30,p17,Solanum lycopersicum,Ailsa Craig,,fruit,,none,0h,control,alisa_h_f_c_1,e17-1-0,
SRR10998569,single,200,30,p17,Solanum lycopersicum,Ailsa Craig,,fruit,,none,0h,control,alisa_h_f_c_2,e17-1-0,
SRR10998566,single,200,30,p17,Solanum lycopersicum,Ailsa Craig,,fruit,,none,0h,control,alisa_h_f_c_3,e17-1-0,
SRR10998565,single,200,30,p17,Solanum lycopersicum,Ailsa Craig,,fruit,,heat,48h,high,alisa_h_f_1,e17-1,e17-1-0
SRR10998564,single,200,30,p17,Solanum lycopersicum,Ailsa Craig,,fruit,,heat,48h,high,alisa_h_f_2,e17-1,e17-1-0
SRR10998563,single,200,30,p17,Solanum lycopersicum,Ailsa Craig,,fruit,,heat,48h,high,alisa_h_f_3,e17-1,e17-1-0
SRR10998562,single,200,30,p17,Solanum lycopersicum,Ailsa Craig,,fruit,,none,0h,control,alisa_h_f_3h_c_1,e17-2-0,
SRR10998561,single,200,30,p17,Solanum lycopersicum,Ailsa Craig,,fruit,,none,0h,control,alisa_h_f_3h_c_2,e17-2-0,
SRR10998560,single,200,30,p17,Solanum lycopersicum,Ailsa Craig,,fruit,,none,0h,control,alisa_h_f_3h_c_3,e17-2-0,
SRR10998559,single,200,30,p17,Solanum lycopersicum,Ailsa Craig,,fruit,,heat,48h,high,alisa_h_f_3h_1,e17-2,e17-2-0
SRR10998568,single,200,30,p17,Solanum lycopersicum,Ailsa Craig,,fruit,,heat,48h,high,alisa_h_f_3h_2,e17-2,e17-2-0
SRR10998567,single,200,30,p17,Solanum lycopersicum,Ailsa Craig,,fruit,,heat,48h,high,alisa_h_f_3h_3,e17-2,e17-2-0
SRR10056921,paired,,,p18,Solanum lycopersicum,,LA1509,seed,,none,0h,control,la1509_h_s_c_1,e18-0,
SRR10056920,paired,,,p18,Solanum lycopersicum,,LA1509,seed,,none,0h,control,la1509_h_s_c_2,e18-0,
SRR10056919,paired,,,p18,Solanum lycopersicum,,LA1509,seed,,none,0h,control,la1509_h_s_c_3,e18-0,
SRR10056918,paired,,,p18,Solanum lycopersicum,,LA1509,seed,,heat,2h,medium,la1509_h_s_1,e18-1,e18-0
SRR10056917,paired,,,p18,Solanum lycopersicum,,LA1509,seed,,heat,2h,medium,la1509_h_s_2,e18-1,e18-0
SRR10056916,paired,,,p18,Solanum lycopersicum,,LA1509,seed,,heat,2h,medium,la1509_h_s_3,e18-1,e18-0
SRR12355986,paired,,,p19,Solanum lycopersicum,Nagcarlan,,flower,,none,0h,control,Nagcarlan_h_f_c_1,e19-1-0,
SRR12356007,paired,,,p19,Solanum lycopersicum,Nagcarlan,,flower,,none,0h,control,Nagcarlan_h_f_c_2,e19-1-0,
SRR12355994,paired,,,p19,Solanum lycopersicum,Nagcarlan,,flower,,none,0h,control,Nagcarlan_h_f_c_3,e19-1-0,
SRR12355998,paired,,,p19,Solanum lycopersicum,Nagcarlan,,flower,,heat,4h,low,Nagcarlan_h_f_1,e19-1,e19-1-0
SRR12356014,paired,,,p19,Solanum lycopersicum,Nagcarlan,,flower,,heat,4h,low,Nagcarlan_h_f_2,e19-1,e19-1-0
SRR12356001,paired,,,p19,Solanum lycopersicum,Nagcarlan,,flower,,heat,4h,low,Nagcarlan_h_f_3,e19-1,e19-1-0
SRR12355987,paired,,,p19,Solanum lycopersicum,Cervil-Levovil,,flower,,none,0h,control,clf1_h_f_c_1,e19-2-0,
SRR12356008,paired,,,p19,Solanum lycopersicum,Cervil-Levovil,,flower,,none,0h,control,clf1_h_f_c_2,e19-2-0,
SRR12355995,paired,,,p19,Solanum lycopersicum,Cervil-Levovil,,flower,,none,0h,control,clf1_h_f_c_3,e19-2-0,
SRR12356009,paired,,,p19,Solanum lycopersicum,Cervil-Levovil,,flower,,heat,4h,low,clf1_h_f_1,e19-2,e19-2-0
SRR12356015,paired,,,p19,Solanum lycopersicum,Cervil-Levovil,,flower,,heat,4h,low,clf1_h_f_2,e19-2,e19-2-0
SRR12356002,paired,,,p19,Solanum lycopersicum,Cervil-Levovil,,flower,,heat,4h,low,clf1_h_f_3,e19-2,e19-2-0
